Use_Percentage (%),Pokemon,Teammate
39.412%,Leafeon,White Kyurem
34.871%,Vikavolt,White Kyurem
14.164%,Cinccino,White Kyurem
32.192%,Mienshao,Araquanid
14.885%,Snorlax,Araquanid
32.615%,Oranguru,Araquanid
4.262%,Drednaw,Araquanid
25.076%,Black Kyurem,Araquanid
50.875%,Glaceon,Araquanid
62.893%,Chansey,Shuckle
50.311%,Liepard,Shuckle
71.955%,Azumarill,Shuckle
39.035%,Runerigus,Shuckle
57.922%,Mr. Mime,Shuckle
20.848%,Ninjask,Shuckle
99.827%,Mime Jr.,Shuckle
44.245%,Chansey,Liepard
65.449%,Shuckle,Liepard
71.955%,Azumarill,Liepard
33.918%,Pincurchin,Liepard
76.641%,Clefable,Liepard
39.074%,Runerigus,Liepard
27.646%,Mr. Mime,Liepard
50.312%,Liepard,Chansey
93.034%,Shuckle,Chansey
71.959%,Azumarill,Chansey
39.030%,Runerigus,Chansey
17.417%,Cofagrigus,Chansey
57.922%,Mr. Mime,Chansey
24.461%,Polteageist,Chansey
99.827%,Mime Jr.,Chansey
21.811%,Liepard,Azumarill
28.373%,Shuckle,Azumarill
18.319%,Slurpuff,Azumarill
17.841%,Lopunny,Azumarill
20.439%,Sandaconda,Azumarill
21.334%,Jolteon,Azumarill
13.543%,Dedenne,Azumarill
15.861%,Reuniclus,Azumarill
41.390%,Wigglytuff,Azumarill
39.316%,Passimian,Azumarill
20.822%,Flareon,Azumarill
34.733%,Scolipede,Azumarill
16.476%,Hydreigon,Slowbro
23.890%,Togedemaru,Slowbro
16.314%,Tangela,Slowbro
18.215%,Heracross,Slowbro
11.024%,Weavile,Reshiram
36.528%,Pikachu,Reshiram
28.612%,Gyarados,Reshiram
5.158%,Heliolisk,Reshiram
26.102%,Cherrim,Reshiram
35.085%,Vikavolt,Reshiram
16.704%,Glastrier,Milotic
2.094%,Drifblim,Milotic
65.475%,Eiscue Ice Face,Milotic
16.233%,Cofagrigus,Milotic
63.024%,Turtonator,Milotic
17.640%,Sirfetch'd,Milotic
6.112%,Charjabug,Milotic
35.516%,Lopunny,Milotic
26.280%,Polteageist,Milotic
27.818%,Morpeko Full Belly Mode,Milotic
31.141%,Magneton,Milotic
15.337%,Noivern,Milotic
25.831%,Decidueye,Milotic
43.414%,Galvantula,Milotic
28.120%,Orbeetle,Milotic
33.329%,Ninjask,Milotic
20.809%,Hitmonlee,Milotic
13.778%,Scolipede,Milotic
13.057%,Dracovish,Greedent
14.150%,Regidrago,Barraskewda
37.941%,Politoed,Barraskewda
60.826%,Pelipper,Barraskewda
1.185%,Mr. Rime,Barraskewda
19.289%,Crobat,Barraskewda
22.854%,Golduck,Barraskewda
16.604%,Zekrom,Bronzong
68.141%,Giratina Origin Forme,Bronzong
18.161%,Gengar,Bronzong
14.215%,Cursola,Bronzong
38.469%,Meowstic Male,Heat Rotom
27.143%,Politoed,Heat Rotom
55.646%,Primarina,Heat Rotom
66.189%,Sceptile,Heat Rotom
36.255%,Drampa,Heat Rotom
27.962%,Hippowdon,Heat Rotom
14.147%,Sirfetch'd,Heat Rotom
31.274%,Gallade,Heat Rotom
81.475%,Bewear,Heat Rotom
15.330%,Talonflame,Tsareena
23.695%,Durant,Tsareena
27.222%,Salazzle,Tsareena
21.409%,Noivern,Tsareena
33.621%,Dedenne,Tsareena
73.575%,Sigilyph,Tsareena
15.169%,Orbeetle,Tsareena
30.424%,Milotic,Glastrier
27.999%,Klefki,Glastrier
17.054%,Mewtwo,Wash Rotom
38.824%,Leafeon,Wash Rotom
27.033%,Kommo-o,Wash Rotom
25.728%,Lycanroc Dusk Form,Wash Rotom
46.695%,Bouffalant,Wash Rotom
53.272%,Gourgeist Super Size,Wash Rotom
13.898%,Klinklang,Dracozolt
14.519%,Chandelure,Dracozolt
23.245%,Gigalith,Dracozolt
20.864%,Salazzle,Dracozolt
31.189%,Orbeetle,Dracozolt
8.611%,Klinklang,Hydreigon
62.636%,Slowbro,Hydreigon
44.466%,Togedemaru,Hydreigon
8.765%,Aerodactyl,Hydreigon
16.949%,Crustle,Hydreigon
19.346%,Decidueye,Hydreigon
0.595%,Klinklang,Hitmontop
23.971%,Raikou,Hitmontop
38.961%,Leafeon,Hitmontop
19.060%,Gengar,Hitmontop
17.040%,Ribombee,Hitmontop
32.849%,Golduck,Hitmontop
42.342%,Claydol,Hitmontop
33.337%,Dedenne,Hitmontop
60.355%,Crustle,Hitmontop
92.001%,Arctovish,Hitmontop
52.253%,Noctowl,Hitmontop
8.785%,Salamence,Slowking
46.434%,Hatterene,Slowking
23.883%,Moltres,Slowking
33.184%,Mudsdale,Slowking
11.061%,Tangrowth,Slowking
16.829%,Lickilicky,Slowking
8.785%,Salamence,Mudsdale
64.790%,Cinccino,Mudsdale
56.930%,Cloyster,Mudsdale
43.601%,Morpeko Full Belly Mode,Mudsdale
10.716%,Hatterene,Lugia
33.509%,Nihilego,Lugia
49.577%,Togedemaru,Lugia
75.219%,Swoobat,Lugia
11.255%,Cloyster,Lugia
72.029%,Sneasel,Celesteela
38.623%,Pikachu,Celesteela
63.087%,Exeggutor,Celesteela
47.475%,Altaria,Celesteela
8.980%,Sneasel,Sableye
15.793%,Centiskorch,Sableye
18.214%,Jellicent,Sableye
41.784%,Latias,Sableye
41.120%,Obstagoon,Sableye
58.166%,Trevenant,Sableye
31.169%,Silvally,Sableye
38.044%,Crobat,Sableye
46.447%,Crawdaunt,Sableye
22.652%,Wash Rotom,Mewtwo
19.184%,Kingler,Mewtwo
30.334%,Scrafty,Mewtwo
77.332%,Kabutops,Mewtwo
15.100%,Slowking,Moltres
4.308%,Swampert,Porygon-Z
16.794%,Virizion,Porygon-Z
31.162%,Starmie,Porygon-Z
9.264%,Charjabug,Porygon-Z
17.158%,Gourgeist Small Size,Porygon-Z
26.269%,Heracross,Porygon-Z
18.787%,Passimian,Porygon-Z
16.177%,Flareon,Porygon-Z
18.903%,Tyranitar,Excadrill
13.329%,Gigalith,Excadrill
12.839%,Togetic,Excadrill
50.517%,Flapple,Excadrill
18.568%,Hippowdon,Excadrill
62.204%,Turtonator,Excadrill
18.875%,Sharpedo,Excadrill
17.855%,Sirfetch'd,Excadrill
32.320%,Emolga,Excadrill
16.460%,Lopunny,Excadrill
33.506%,Bouffalant,Excadrill
33.428%,Gourgeist Super Size,Excadrill
22.432%,Stoutland,Excadrill
14.912%,Noivern,Excadrill
38.797%,Dedenne,Excadrill
34.360%,Maractus,Excadrill
24.436%,Lycanroc Midday Form,Excadrill
26.615%,Scyther,Excadrill
3.979%,Fan Rotom,Excadrill
19.643%,Hitmonlee,Excadrill
17.046%,Tyranitar,Dracovish
5.164%,Toxicroak,Dracovish
14.620%,Aegislash Shield Forme,Dracovish
78.531%,Greedent,Dracovish
12.780%,Lucario,Dracovish
32.116%,Cradily,Dracovish
26.444%,Duraludon,Dracovish
60.498%,Luxray,Dracovish
18.742%,Gengar,Dracovish
6.739%,Flapple,Dracovish
63.120%,Eiscue Ice Face,Dracovish
24.744%,Arctozolt,Dracovish
28.539%,Toxtricity Low Key Form,Dracovish
23.226%,Lopunny,Dracovish
14.329%,Bouffalant,Dracovish
28.350%,Polteageist,Dracovish
23.340%,Jolteon,Dracovish
17.074%,Falinks,Dracovish
79.208%,Vanilluxe,Dracovish
79.526%,Seaking,Dracovish
73.920%,Sigilyph,Dracovish
24.590%,Tentacruel,Dracovish
38.623%,Pikachu,Pheromosa
14.518%,Chandelure,Pheromosa
14.106%,Dracozolt,Pheromosa
22.084%,Gigalith,Pheromosa
15.397%,Giratina Altered Forme,Pheromosa
18.365%,Alolan Ninetales,Suicune
17.623%,Latias,Suicune
16.387%,Alolan Marowak,Snorlax
32.655%,Oranguru,Snorlax
31.213%,Zoroark,Snorlax
34.984%,Ribombee,Snorlax
32.350%,Golduck,Snorlax
52.562%,Unfezant,Snorlax
44.014%,Tangrowth,Snorlax
17.405%,Aromatisse,Snorlax
61.001%,Crustle,Snorlax
1.499%,Arctovish,Snorlax
3.115%,Fan Rotom,Snorlax
20.961%,Steelix,Snorlax
20.912%,Slowbro,Togedemaru
59.242%,Galvantula,Togedemaru
5.279%,Giratina Origin Forme,Politoed
9.471%,Kangaskhan,Politoed
33.637%,Dhelmise,Politoed
12.291%,Alolan Raichu,Politoed
20.942%,Beartic,Politoed
23.181%,Perrserker,Politoed
6.119%,Miltank,Politoed
27.381%,Jolteon,Politoed
28.511%,Cursola,Politoed
4.080%,Seaking,Politoed
71.911%,Poliwrath,Politoed
19.564%,Hitmonlee,Politoed
23.752%,Noctowl,Politoed
5.097%,Giratina Origin Forme,Lapras
11.387%,Toxapex,Lapras
6.547%,Kangaskhan,Lapras
24.528%,Krookodile,Lapras
5.133%,Toxicroak,Lapras
37.645%,Cradily,Lapras
15.648%,Heatran,Lapras
14.374%,Rhyperior,Lapras
56.707%,Stonjourner,Lapras
4.130%,Electivire,Lapras
62.940%,Grapploct,Lapras
13.735%,Zoroark,Lapras
22.330%,Togetic,Lapras
20.465%,Beartic,Lapras
22.519%,Sylveon,Lapras
21.147%,Ribombee,Lapras
15.439%,Magnezone,Lapras
12.896%,Golisopod,Lapras
67.486%,Roserade,Lapras
40.153%,Sandaconda,Lapras
57.979%,Miltank,Lapras
19.555%,Crawdaunt,Lapras
27.087%,Noivern,Lapras
18.502%,Claydol,Lapras
26.130%,Jolteon,Lapras
17.460%,Cursola,Lapras
17.018%,Falinks,Lapras
22.936%,Dusknoir,Lapras
25.709%,Drapion,Lapras
80.040%,Seaking,Lapras
8.228%,Sigilyph,Lapras
23.356%,Tentacruel,Lapras
6.044%,Bewear,Lapras
22.601%,Golurk,Lapras
13.681%,Raikou,Togekiss
32.369%,Porygon-Z,Togekiss
12.300%,Conkeldurr,Togekiss
29.778%,Zoroark,Togekiss
29.059%,Lilligant,Togekiss
15.403%,Clawitzer,Togekiss
82.732%,Qwilfish,Togekiss
4.677%,Haxorus,Togekiss
21.964%,Dhelmise,Togekiss
12.443%,Runerigus,Togekiss
22.501%,Virizion,Togekiss
17.564%,Togetic,Togekiss
18.197%,Alolan Raichu,Togekiss
29.373%,Beartic,Togekiss
21.668%,Copperajah,Togekiss
54.925%,Flapple,Togekiss
17.452%,Slurpuff,Togekiss
6.697%,Eiscue Ice Face,Togekiss
15.597%,Alakazam,Togekiss
14.819%,Thievul,Togekiss
43.249%,Arctozolt,Togekiss
50.692%,Cofagrigus,Togekiss
70.579%,Turtonator,Togekiss
33.052%,Salazzle,Togekiss
16.611%,Ninetales,Togekiss
33.013%,Emolga,Togekiss
24.005%,Ribombee,Togekiss
29.582%,Toxtricity Low Key Form,Togekiss
24.201%,Mr. Mime,Togekiss
43.977%,Magnezone,Togekiss
44.969%,Lopunny,Togekiss
26.286%,Gourgeist Small Size,Togekiss
69.072%,Shiinotic,Togekiss
54.019%,Lycanroc Dusk Form,Togekiss
60.092%,Unfezant,Togekiss
19.018%,Perrserker,Togekiss
15.755%,Galarian Slowbro,Togekiss
65.761%,Bouffalant,Togekiss
73.810%,Roserade,Togekiss
37.393%,Polteageist,Togekiss
78.882%,Morpeko Full Belly Mode,Togekiss
88.655%,Gourgeist Super Size,Togekiss
18.384%,Crawdaunt,Togekiss
34.946%,Heracross,Togekiss
36.709%,Magneton,Togekiss
52.053%,Stoutland,Togekiss
19.078%,Claydol,Togekiss
22.900%,Jolteon,Togekiss
41.450%,Vileplume,Togekiss
41.925%,Falinks,Togekiss
44.878%,Dedenne,Togekiss
60.298%,Flygon,Togekiss
25.061%,Reuniclus,Togekiss
24.284%,Dusknoir,Togekiss
32.963%,Drapion,Togekiss
23.973%,Exploud,Togekiss
15.271%,Wigglytuff,Togekiss
14.259%,Galarian Corsola,Togekiss
5.033%,Sigilyph,Togekiss
27.157%,Decidueye,Togekiss
24.617%,Galvantula,Togekiss
92.068%,Arctovish,Togekiss
27.354%,Passimian,Togekiss
31.716%,Lycanroc Midday Form,Togekiss
28.949%,Tentacruel,Togekiss
39.737%,Dragalge,Togekiss
87.483%,Bewear,Togekiss
13.750%,Scyther,Togekiss
23.205%,Alolan Sandslash,Togekiss
19.648%,Poliwrath,Togekiss
10.273%,Lycanroc Midnight Form,Togekiss
65.220%,Golurk,Togekiss
36.766%,Lickilicky,Togekiss
13.505%,Scolipede,Togekiss
51.852%,Dunsparce,Togekiss
14.466%,Sandslash,Togekiss
71.720%,Steelix,Togekiss
88.996%,Corsola,Togekiss
99.986%,Gourgeist Large Size,Togekiss
22.853%,Galarian Weezing,Volcarona
4.130%,Electivire,Volcarona
35.146%,Vikavolt,Volcarona
15.343%,Dhelmise,Volcarona
14.662%,Alolan Raichu,Volcarona
14.596%,Morpeko Full Belly Mode,Volcarona
31.720%,Magneton,Volcarona
18.487%,Claydol,Volcarona
3.121%,Fan Rotom,Volcarona
15.464%,Gyarados,Mamoswine
24.462%,Polteageist,Mamoswine
72.574%,Heliolisk,Toxicroak
4.874%,Heliolisk,Weavile
65.361%,Eiscue Ice Face,Weavile
13.536%,Vaporeon,Weavile
39.780%,Wigglytuff,Weavile
29.393%,Excadrill,Tyranitar
4.276%,Clefable,Tyranitar
2.732%,Haxorus,Tyranitar
49.449%,Flapple,Tyranitar
89.781%,Torracat,Tyranitar
20.714%,Sharpedo,Tyranitar
34.548%,Emolga,Tyranitar
12.844%,Malamar,Tyranitar
48.414%,Galarian Slowbro,Tyranitar
66.929%,Tangela,Tyranitar
18.125%,Morpeko Full Belly Mode,Tyranitar
20.512%,Aromatisse,Tyranitar
38.813%,Magneton,Tyranitar
63.185%,Stoutland,Tyranitar
26.373%,Noivern,Tyranitar
44.080%,Claydol,Tyranitar
20.872%,Vileplume,Tyranitar
52.432%,Dedenne,Tyranitar
14.142%,Reuniclus,Tyranitar
27.979%,Decidueye,Tyranitar
1.818%,Arctovish,Tyranitar
32.212%,Maractus,Tyranitar
21.204%,Passimian,Tyranitar
2.736%,Druddigon,Tyranitar
61.256%,Lycanroc Midday Form,Tyranitar
85.985%,Bewear,Tyranitar
5.631%,Fan Rotom,Tyranitar
19.700%,Hitmonlee,Tyranitar
80.958%,Sandslash,Tyranitar
53.605%,Noctowl,Tyranitar
25.700%,Excadrill,Galarian Moltres
64.757%,Machamp,Galarian Moltres
62.834%,Primarina,Sceptile
58.463%,Blissey,Sceptile
17.110%,Shiftry,Cherrim
22.833%,Goodra,Cherrim
14.519%,Chandelure,Gigalith
14.812%,Dracozolt,Gigalith
4.341%,Torracat,Gigalith
34.890%,Aromatisse,Gigalith
14.109%,Stoutland,Gigalith
11.226%,Sandslash,Gigalith
84.219%,Toxicroak,Heliolisk
76.694%,Charjabug,Heliolisk
38.349%,Dracozolt,Klinklang
14.071%,Dracozolt,Chandelure
22.084%,Gigalith,Chandelure
33.207%,Zoroark,Chandelure
32.016%,Gallade,Chandelure
27.431%,Roserade,Chandelure
66.398%,Sceptile,Primarina
58.463%,Blissey,Primarina
11.863%,Alolan Raichu,Primarina
19.591%,Salazzle,Primarina
37.197%,Emolga,Primarina
89.477%,Charjabug,Primarina
14.628%,Toxtricity Low Key Form,Primarina
22.141%,Mr. Mime,Primarina
14.802%,Magnezone,Primarina
17.822%,Stoutland,Primarina
21.795%,Reuniclus,Primarina
31.748%,Decidueye,Primarina
20.725%,Orbeetle,Primarina
33.028%,Ninjask,Primarina
41.734%,Beheeyem,Primarina
24.540%,Tentacruel,Primarina
14.672%,Alolan Sandslash,Primarina
87.438%,Fan Rotom,Primarina
9.560%,Sceptile,Blissey
33.153%,Pincurchin,Clefable
28.962%,Sandslash,Clefable
29.765%,Centiskorch,Mr. Rime
5.910%,Lucario,Braviary
13.743%,Duraludon,Braviary
85.326%,Haxorus,Braviary
6.129%,Torracat,Braviary
16.071%,Ninetales,Braviary
73.574%,Sigilyph,Braviary
5.542%,Lucario,Duraludon
21.274%,Sylveon,Duraludon
21.998%,Hippowdon,Duraludon
38.134%,Salazzle,Duraludon
28.909%,Golduck,Duraludon
34.072%,Shiinotic,Duraludon
27.951%,Polteageist,Duraludon
14.812%,Morpeko Full Belly Mode,Duraludon
81.912%,Eldegoss,Duraludon
7.022%,Sigilyph,Duraludon
87.742%,Druddigon,Duraludon
0.014%,Gourgeist Large Size,Duraludon
33.184%,Mudsdale,Salamence
23.219%,Cherrim,Shiftry
24.650%,Froslass,Tauros
33.829%,Gardevoir,Tauros
12.285%,Sandslash,Tauros
15.476%,Froslass,Mandibuzz
20.537%,Jellicent,Pincurchin
76.641%,Clefable,Pincurchin
65.062%,Alolan Raichu,Pincurchin
11.065%,Emolga,Pincurchin
9.872%,Lycanroc Midnight Form,Pincurchin
20.438%,Jellicent,Ludicolo
6.008%,Mantine,Ludicolo
25.712%,Goodra,Ludicolo
23.044%,Starmie,Ludicolo
19.535%,Jolteon,Ludicolo
3.063%,Seaking,Ludicolo
30.200%,Mandibuzz,Dusk Mane Necrozma
79.279%,Drednaw,Dusk Mane Necrozma
2.861%,Clefable,Dusk Mane Necrozma
26.145%,Appletun,Dusk Mane Necrozma
37.198%,Vikavolt,Dusk Mane Necrozma
19.804%,Mandibuzz,Froslass
77.293%,Tauros,Froslass
20.066%,Beartic,Froslass
68.228%,Lurantis,Spectrier
41.842%,Articuno,Spectrier
37.231%,Darmanitan Standard Mode,Garbodor
24.020%,Darmanitan Standard Mode,Appletun
24.453%,Abomasnow,Appletun
16.605%,Cradily,Goodra
18.164%,Lilligant,Goodra
21.415%,Arctozolt,Goodra
15.051%,Golisopod,Goodra
40.875%,Wigglytuff,Goodra
25.976%,Scyther,Goodra
48.287%,Lycanroc Midnight Form,Goodra
54.759%,Steelix,Goodra
8.765%,Aerodactyl,Shiinotic
7.999%,Kabutops,Cobalion
12.679%,Thievul,Cobalion
32.020%,Salazzle,Cobalion
44.225%,Dunsparce,Cobalion
4.679%,Corsola,Cobalion
23.097%,Articuno,Krookodile
41.951%,Unfezant,Krookodile
4.401%,Drednaw,Mow Rotom
14.846%,Heatran,Rhyperior
18.331%,Lilligant,Rhyperior
24.955%,Perrserker,Rhyperior
14.178%,Tangrowth,Rhyperior
4.120%,Eldegoss,Rhyperior
40.836%,Vileplume,Rhyperior
14.877%,Wigglytuff,Rhyperior
8.933%,Scyther,Rhyperior
29.984%,Appletun,Darmanitan Standard Mode
80.773%,Garbodor,Darmanitan Standard Mode
26.145%,Appletun,Togetic
0.014%,Gourgeist Large Size,Togetic
9.611%,Registeel,Giratina Origin Forme
14.310%,Rhyperior,Heatran
4.130%,Electivire,Cradily
30.103%,Goodra,Cradily
31.523%,Abomasnow,Beartic
31.455%,Abomasnow,Talonflame
30.412%,Giratina Altered Forme,Talonflame
22.328%,Grapploct,Talonflame
15.517%,Starmie,Talonflame
21.732%,Magnezone,Talonflame
46.072%,Gourgeist Small Size,Talonflame
23.748%,Golduck,Talonflame
55.796%,Frost Rotom,Talonflame
30.269%,Drapion,Talonflame
18.228%,Galarian Corsola,Talonflame
19.626%,Passimian,Talonflame
28.445%,Marowak,Talonflame
13.384%,Lycanroc Midnight Form,Talonflame
0.014%,Gourgeist Large Size,Talonflame
33.870%,Diggersby,Boltund
36.950%,Corviknight,Alolan Ninetales
49.168%,Beartic,Alolan Ninetales
14.046%,Eiscue Ice Face,Alolan Ninetales
46.068%,Gourgeist Small Size,Alolan Ninetales
26.834%,Frost Rotom,Alolan Ninetales
80.576%,Alolan Sandslash,Alolan Ninetales
36.944%,Corviknight,Aegislash Shield Forme
3.109%,Fan Rotom,Aegislash Shield Forme
36.944%,Corviknight,Haxorus
23.695%,Durant,Pikachu
18.657%,Gengar,Pikachu
23.917%,Lycanroc Midday Form,Pikachu
14.460%,Dunsparce,Pikachu
97.288%,Mr. Rime,Centiskorch
36.835%,Grapploct,Centiskorch
25.811%,Sandaconda,Centiskorch
38.753%,Boltund,Diggersby
17.643%,Lopunny,Diggersby
27.368%,Cobalion,Kingler
10.851%,Cobalion,Kabutops
17.469%,Black Kyurem,Turtonator
18.055%,Sirfetch'd,Turtonator
53.557%,Mantine,Thundurus Therian Forme
4.599%,Machamp,Accelgor
94.240%,Palossand,Accelgor
29.286%,Sharpedo,Accelgor
87.278%,Charjabug,Accelgor
32.884%,Ninjask,Accelgor
43.712%,Silvally,Stakataka
16.187%,Xurkitree,Stakataka
21.036%,Blissey,Stakataka
75.418%,Accelgor,Palossand
29.287%,Sharpedo,Palossand
8.177%,Luxray,Tapu Koko
17.931%,Blaziken,Tapu Koko
4.875%,Dugtrio,Clefairy
15.995%,Sylveon,Clefairy
17.069%,Hippowdon,Clefairy
45.157%,Thievul,Clefairy
35.529%,Malamar,Clefairy
14.335%,Vanilluxe,Clefairy
22.202%,Passimian,Clefairy
46.207%,Lycanroc Midday Form,Clefairy
20.844%,Flareon,Clefairy
8.753%,Steelix,Clefairy
46.085%,Mow Rotom,Galarian Articuno
40.420%,Mow Rotom,Escavalier
22.416%,Mow Rotom,Alolan Marowak
31.007%,Clawitzer,Alolan Marowak
17.539%,Arctozolt,Alolan Marowak
37.153%,Sharpedo,Alolan Marowak
22.576%,Ribombee,Alolan Marowak
15.177%,Roserade,Alolan Marowak
17.120%,Tangela,Alolan Marowak
43.924%,Ninjask,Alolan Marowak
21.027%,Gengar,Sirfetch'd
16.830%,Cofagrigus,Sirfetch'd
67.468%,Turtonator,Sirfetch'd
19.909%,Gengar,Lucario
59.241%,Galvantula,Lucario
18.759%,Gengar,Dragonite
36.281%,Glaceon,Leafeon
36.473%,Espeon,Leafeon
36.281%,Glaceon,Espeon
51.079%,Vaporeon,Espeon
2.713%,Druddigon,Espeon
66.523%,Flareon,Espeon
44.044%,Dunsparce,Espeon
40.716%,Sandslash,Espeon
8.658%,Manectric,Obstagoon
4.095%,Torracat,Obstagoon
39.299%,Espeon,Grapploct
27.105%,Sandaconda,Grapploct
38.908%,Espeon,Garchomp
36.459%,Espeon,Glaceon
62.835%,Eiscue Ice Face,Glaceon
17.541%,Frost Rotom,Glaceon
74.942%,Tyrantrum,Scizor
8.027%,Eiscue Ice Face,Scizor
12.517%,Vaporeon,Scizor
15.814%,Orbeetle,Scizor
23.579%,Noctowl,Scizor
64.743%,Cinccino,Cloyster
56.930%,Cloyster,Cinccino
18.204%,Blaziken,Corviknight
22.241%,Grapploct,Corviknight
82.990%,Torracat,Corviknight
27.805%,Sirfetch'd,Corviknight
65.276%,Tangela,Corviknight
31.300%,Crawdaunt,Corviknight
35.164%,Beheeyem,Corviknight
19.907%,Marowak,Corviknight
29.671%,Poliwrath,Corviknight
37.016%,Grapploct,Sandaconda
36.953%,Grapploct,Gengar
9.353%,Turtonator,Gengar
49.743%,Sandaconda,Gengar
15.468%,Stoutland,Gengar
14.576%,Falinks,Gengar
32.903%,Zoroark,Gyarados
25.612%,Starmie,Gyarados
38.874%,Sirfetch'd,Gyarados
29.231%,Galarian Slowbro,Gyarados
18.928%,Tangela,Gyarados
16.744%,Falinks,Gyarados
19.697%,Dedenne,Gyarados
16.345%,Galarian Corsola,Gyarados
85.345%,Seaking,Gyarados
59.335%,Galvantula,Gyarados
43.928%,Ninjask,Gyarados
89.964%,Druddigon,Gyarados
19.601%,Marowak,Gyarados
26.465%,Tentacruel,Gyarados
27.555%,Scyther,Gyarados
58.331%,Golurk,Gyarados
48.152%,Sandslash,Gyarados
22.077%,Steelix,Gyarados
21.280%,Lilligant,Bouffalant
21.417%,Frost Rotom,Bouffalant
69.290%,Gourgeist Super Size,Bouffalant
18.808%,Hitmonlee,Bouffalant
18.744%,Lilligant,Ninetales
76.033%,Charjabug,Ninetales
7.086%,Miltank,Ninetales
10.750%,Clawitzer,Sylveon
78.222%,Charjabug,Sylveon
50.594%,Vaporeon,Sylveon
33.615%,Shiinotic,Sylveon
21.149%,Jolteon,Sylveon
12.258%,Flygon,Sylveon
20.202%,Ninjask,Sylveon
87.534%,Druddigon,Sylveon
67.816%,Flareon,Sylveon
6.603%,Corsola,Sylveon
1.154%,Qwilfish,Clawitzer
0.752%,Qwilfish,Manectric
16.208%,Virizion,Starmie
21.171%,Togetic,Riolu
52.509%,Unfezant,Riolu
55.672%,Miltank,Riolu
77.263%,Dusknoir,Riolu
35.432%,Exploud,Riolu
61.160%,Ninjask,Riolu
18.669%,Togetic,Golurk
18.530%,Togetic,Galarian Slowbro
30.719%,Crawdaunt,Galarian Slowbro
17.823%,Heracross,Galarian Slowbro
14.656%,Togetic,Conkeldurr
16.553%,Sharpedo,Conkeldurr
34.823%,Roserade,Conkeldurr
21.267%,Cursola,Conkeldurr
23.698%,Maractus,Conkeldurr
14.085%,Togetic,Drapion
23.042%,Lickilicky,Drapion
22.446%,Hippowdon,Lycanroc Midday Form
82.837%,Torracat,Toxtricity Low Key Form
65.276%,Tangela,Toxtricity Low Key Form
63.784%,Vanilluxe,Toxtricity Low Key Form
10.766%,Thievul,Terrakion
24.059%,Starmie,Terrakion
28.565%,Malamar,Terrakion
17.153%,Gourgeist Super Size,Terrakion
18.706%,Reuniclus,Terrakion
11.626%,Gardevoir,Terrakion
25.922%,Galarian Corsola,Terrakion
99.986%,Gourgeist Large Size,Terrakion
21.494%,Arctozolt,Golisopod
21.415%,Arctozolt,Galarian Weezing
36.122%,Golisopod,Galarian Weezing
27.392%,Noivern,Galarian Weezing
26.054%,Maractus,Galarian Weezing
0.014%,Gourgeist Large Size,Galarian Weezing
38.077%,Cofagrigus,Zoroark
4.313%,Sirfetch'd,Zoroark
9.690%,Turtonator,Alakazam
15.777%,Vileplume,Alakazam
16.566%,Falinks,Alakazam
25.789%,Salazzle,Inteleon
56.641%,Frost Rotom,Inteleon
7.512%,Vanilluxe,Inteleon
33.822%,Beheeyem,Inteleon
17.281%,Alolan Sandslash,Inteleon
18.808%,Hitmonlee,Inteleon
16.025%,Ninetales,Magnezone
19.795%,Golisopod,Magnezone
17.656%,Unfezant,Magnezone
14.513%,Bouffalant,Magnezone
16.079%,Gourgeist Super Size,Magnezone
19.320%,Heracross,Magnezone
49.321%,Flygon,Magnezone
1.434%,Druddigon,Magnezone
25.529%,Sirfetch'd,Marowak
5.637%,Sirfetch'd,Cofagrigus
19.266%,Ribombee,Crustle
31.832%,Golduck,Crustle
19.346%,Decidueye,Crustle
16.791%,Ribombee,Golduck
59.374%,Crustle,Golduck
6.112%,Charjabug,Ninjask
49.127%,Vaporeon,Flareon
48.452%,Vaporeon,Jolteon
68.314%,Flareon,Jolteon
22.141%,Mr. Mime,Darmanitan Galarian Standard Mode
11.142%,Flygon,Darmanitan Galarian Standard Mode
17.545%,Galarian Corsola,Darmanitan Galarian Standard Mode
35.157%,Beheeyem,Darmanitan Galarian Standard Mode
6.603%,Corsola,Darmanitan Galarian Standard Mode
30.845%,Gallade,Scolipede
16.953%,Lopunny,Maractus
31.833%,Golduck,Ribombee
68.128%,Crustle,Ribombee
54.024%,Unfezant,Luxray
17.659%,Unfezant,Gardevoir
28.568%,Polteageist,Gardevoir
20.142%,Perrserker,Durant
17.475%,Bouffalant,Durant
27.891%,Roserade,Durant
20.423%,Gourgeist Super Size,Durant
43.967%,Claydol,Durant
50.083%,Noctowl,Durant
59.624%,Bouffalant,Gourgeist Super Size
12.149%,Bouffalant,Lilligant
17.643%,Frost Rotom,Vanilluxe
14.607%,Tangrowth,Lickilicky
11.025%,Dunsparce,Lickilicky
14.502%,Tangela,Passimian
43.530%,Morpeko Full Belly Mode,Tentacruel
82.254%,Seaking,Tentacruel
89.124%,Eldegoss,Malamar
24.440%,Galvantula,Malamar
81.849%,Eldegoss,Jellicent
3.054%,Seaking,Jellicent
4.421%,Eldegoss,Lurantis
4.103%,Eldegoss,Cursola
14.463%,Aromatisse,Drampa
55.580%,Miltank,Dusknoir
31.141%,Magneton,Hawlucha
14.219%,Stoutland,Bisharp
19.093%,Claydol,Bisharp
6.628%,Vanilluxe,Bisharp
